WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
190,Crax blumenbachii,Crax,Red-billed Curassow,11,#VALUE!,Curassow,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
195,Alectura lathami,Alectura,Australian Brush-turkey,11,#VALUE!,Brush-turkey,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
196,Aepypodius arfakianus,Aepypodius,Wattled Brush-turkey,8,#VALUE!,Brush-turkey,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
197,Aepypodius bruijnii,Aepypodius,Bruijn's Brush-turkey,9,#VALUE!,Brush-turkey,EN,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
198,Talegalla cuvieri,Talegalla,Red-billed Brush-turkey,11,#VALUE!,Brush-turkey,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
199,Talegalla fuscirostris,Talegalla,Black-billed Brush-turkey,13,#VALUE!,Brush-turkey,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
200,Talegalla jobiensis,Talegalla,Brown-collared Brush-turkey,15,#VALUE!,Brush-turkey,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
201,Macrocephalon maleo,Macrocephalon,Maleo,#VALUE!,#VALUE!,Maleo,EN,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
202,Megapodius nicobariensis,Megapodius,Nicobar Megapode,8,#VALUE!,Megapode,VU,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
203,Megapodius cumingii,Megapodius,Tabon Megapode,6,#VALUE!,Megapode,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
204,Megapodius bernsteinii,Megapodius,Sula Megapode,5,#VALUE!,Megapode,NT,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
206,Megapodius reinwardt,Megapodius,Orange-footed Megapode,14,#VALUE!,Megapode,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
207,Megapodius freycinet,Megapodius,Dusky Megapode,6,#VALUE!,Megapode,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
210,Megapodius affinis,Megapodius,New Guinea Megapode,4,11,Megapode,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
211,Megapodius eremita,Megapodius,Melanesian Megapode,11,#VALUE!,Megapode,LC,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
212,Megapodius layardi,Megapodius,Vanuatu Megapode,8,#VALUE!,Megapode,VU,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
213,Megapodius laperouse,Megapodius,Micronesian Megapode,12,#VALUE!,Megapode,EN,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
214,Megapodius pritchardii,Megapodius,Polynesian Megapode,11,#VALUE!,Megapode,EN,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
215,Eulipoa wallacei,Eulipoa,Moluccan Megapode,9,#VALUE!,Megapode,VU,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
216,Leipoa ocellata,Leipoa,Malleefowl,#VALUE!,#VALUE!,Malleefowl,VU,BL3,Megapodiidae,Megapodes,7,GALLIFORMES
228,Lerwa lerwa,Lerwa,Snow Partridge,5,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
229,Ammoperdix griseogularis,Ammoperdix,See-see Partridge,8,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
230,Ammoperdix heyi,Ammoperdix,Sand Partridge,5,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
